ref_id,report_text,date_case,food,hazard,origin_country,destination_country,hazard_category,year,month
2017.1584,foodborne outbreak suspected (anticholinergic syndrome) to be caused by mandrake in frozen spinach from Spain,2017-10-04,mandrake in frozen spinach,foodborne outbreak suspected,Spain,Spain,Microbiological contamination,2017,10
2016.1656,"unauthorised novel food ingredient creatine nitrate in food supplement for athletes from the United States, via the Netherlands, via Poland and via Portugal, intended for Romania",2016-11-30,food supplement for athletes,unauthorised novel food ingredient creatine nitrate,United States,Romania,Heavy metals,2016,11
2012.0509,"mercury (0.68 mg/kg - ppm) in chilled greater amberjack (Seriola dumerili) from Greece, intended for Italy",2012-04-06,chilled greater amberjack (seriola dumerili),mercury,Greece,Italy,Heavy metals,2012,4
2011.1351,"unauthorised placing on the market of lust stimulating tablets containing maca (Lepidium mayenii Walp) and devil's weed (Tribulus terrestris L) from the Netherlands, intended for Denmark",2011-10-04,lust stimulating tablets containing maca (lepidium mayenii walp) and devil's weed (tribulus terrestris l),unauthorised placing on the market,Netherlands,Denmark,Labelling / regulatory non-compliance,2011,10
2010.1601,"ochratoxin A (ND; 25.9; 19.4 µg/kg - ppb) in dried figs from Turkey, via the Netherlands, intended for Germany",2010-11-24,dried figs,ochratoxin A,Turkey,Germany,Mycotoxins,2010,11
2011.0804,"histamine (538 mg/kg - ppm) in salted mackerel from Thailand, intended for United Kingdom",2011-06-20,salted mackerel,histamine,Thailand,United Kingdom,Other,2011,6
2012.1554,"foreign body (fragment of a knife) in canned tomatoes from Italy, intended for Denmark",2012-11-08,canned tomatoes,foreign body,Italy,Denmark,Foreign bodies,2012,11
2010.1741,"Diarrhoeic Shellfish Poisoning (DSP) toxins (sum of okadaic acid, dinophysistoxins and pectenotoxins = 189 µg/kg - ppb) in chilled clams from France, intended for Spain",2010-12-22,chilled clams,Diarrhoeic Shellfish Poisoning (DSP) toxins,France,Spain,Other,2010,12
2013.0519,"poor traceability records for meat from the Netherlands, intended for Hong Kong",2013-04-10,meat,poor traceability records,Netherlands,Hong Kong,Other,2013,4
2019.2964,"migration of formaldehyde (35, 32, 73 mg/kg - ppm) from large cup from China, intended for Spain",2019-08-14,large cup,migration of formaldehyde,China,Spain,Packaging / chemical migration,2019,8
2013.0331,"lead (9.95; 5.73 mg/kg - ppm) in food supplement from France, intended for Mauritius",2013-03-08,food supplement,lead,France,Mauritius,Heavy metals,2013,3
2017.0801,"unauthorised use of colour E 110 - Sunset Yellow FCF (485 mg/kg - ppm) in corn chips from Iran, intended for Switzerland",2017-06-07,corn chips,unauthorised use of colour E 110 - Sunset Yellow FCF,Iran,Switzerland,Food additives,2017,6
